array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_3Crop,"Array_3Crop_16,11.bmp",16,11,73.03125,546.0,0.557427258805513,0.15960419644568447,50.99019513592785,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,12.bmp",16,12,64.966552734375,331.0,0.4958801498127341,0.13551572494472036,48.16637831516918,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,13.bmp",16,13,72.109130859375,430.5,0.6415797317436661,0.20757175715959722,44.181444068749045,0,0,2,0,0
Array_3Crop,"Array_3Crop_16,14.bmp",16,14,84.51953125,49.5,0.5657142857142857,0.20404651324690984,29.832867780352597,1,-1,0,2,2
Array_3Crop,"Array_3Crop_16,15.bmp",16,15,69.11572265625,589.0,0.4814058030241112,0.14838826268123192,39.11521443121589,0,3,1,0,0
Array_3Crop,"Array_3Crop_16,16.bmp",16,16,67.62060546875,624.5,0.4161946017994002,0.08253793444460769,38.2099463490856,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,17.bmp",16,17,72.456298828125,358.5,0.7279187817258883,0.4139184036830044,41.23105625617661,0,0,2,0,0
Array_3Crop,"Array_3Crop_16,18.bmp",16,18,67.07958984375,977.0,0.8738819320214669,0.5207945419184156,55.00909015790027,3,1,3,3,3
Array_3Crop,"Array_3Crop_16,19.bmp",16,19,68.931396484375,628.5,0.6247514910536779,0.15568021058433404,49.9799959983992,3,-1,1,0,0
Array_3Crop,"Array_3Crop_16,2.bmp",16,2,86.843994140625,77.5,0.6224899598393574,0.1538728078729442,30.265491900843113,1,-1,0,2,2
Array_3Crop,"Array_3Crop_16,20.bmp",16,20,65.0595703125,663.0,0.42391304347826086,0.08462833255828059,47.51841748206689,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,21.bmp",16,21,65.67637711864407,459.0,0.6283367556468172,0.2933385907741217,38.8329756778952,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,3.bmp",16,3,70.83154296875,669.0,0.4593202883625129,0.09152222317509978,35.12833614050059,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,4.bmp",16,4,70.50537109375,369.0,0.6074074074074074,0.15821556856676652,41.10960958218893,0,0,2,0,0
Array_3Crop,"Array_3Crop_16,5.bmp",16,5,77.29541015625,348.5,0.5630048465266559,0.18239414321929692,43.840620433565945,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,6.bmp",16,6,86.877197265625,42.0,0.65625,0.14591551308113404,27.784887978899608,1,-1,0,2,2
Array_3Crop,"Array_3Crop_16,7.bmp",16,7,70.39697265625,655.5,0.48092443140132063,0.10748275419631347,39.01281840626232,0,-1,1,0,0
Array_3Crop,"Array_3Crop_16,8.bmp",16,8,68.238037109375,379.0,0.48311026131293816,0.11985839927400345,38.07886552931954,0,-1,2,0,0
Array_3Crop,"Array_3Crop_16,9.bmp",16,9,69.018798828125,509.0,0.5833810888252149,0.230144614777385,34.058772731852805,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,1.bmp",17,1,72.42079741379311,465.0,0.4225352112676056,0.13334179237642124,35.014282800023196,0,0,1,0,0
Array_3Crop,"Array_3Crop_17,10.bmp",17,10,72.62841796875,336.0,0.5419354838709678,0.20632421714853172,34.058772731852805,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,11.bmp",17,11,70.50048828125,550.5,0.7414141414141414,0.31946339877989804,127.01181047445942,3,-1,1,0,0
Array_3Crop,"Array_3Crop_17,12.bmp",17,12,67.8857421875,569.5,0.6010554089709762,0.19941905189621803,48.16637831516918,3,-1,1,0,0
Array_3Crop,"Array_3Crop_17,13.bmp",17,13,71.603271484375,347.0,0.4348370927318296,0.14318593572690907,37.57658845611187,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,14.bmp",17,14,72.76416015625,345.5,0.45341207349081364,0.16419597253486823,32.89376840679705,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,15.bmp",17,15,71.77783203125,332.5,0.4925925925925926,0.21533832673101122,38.2099463490856,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,16.bmp",17,16,71.576171875,318.0,0.5408163265306123,0.25413408114408226,40.049968789001575,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,17.bmp",17,17,72.29833984375,323.5,0.48068350668647847,0.18949529551413843,34.92849839314596,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,18.bmp",17,18,70.510009765625,348.5,0.44002525252525254,0.1632607028830086,36.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,19.bmp",17,19,73.397216796875,380.0,0.5036447978793903,0.2155159287247423,37.73592452822641,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,2.bmp",17,2,74.60009765625,537.0,0.3992565055762082,0.10490810867008177,37.73592452822641,0,0,1,0,0
