array,row,col,filename,defect_type,layer_layer_missing,layer_layer_collapsed,layer_layer_stitching,center_mean,center_std,center_edge_contrast,mean_intensity,dark_ratio,contour_area,stitching_score,max_intensity_jump,rotation_asymmetry,neighbor_deviation,anisotropy,curvature_irregularity,radial_deviation,lof_score,is_lof_outlier
Array_1Crop,10,15,"Array_1Crop_10,15.bmp",Good,0,0.0,0.0,69.4208984375,4.047760855437245,-5.5615234375,73.592041015625,0.799072265625,0.50146484375,17.310253906249997,1.921875,7.741475353246675,1.923344841134382,0.1918257690653521,8.763754842752546,5.938780344276243,1.0982352016669341,0.0
Array_1Crop,10,16,"Array_1Crop_10,16.bmp",Good,0,0.0,0.0,69.6669921875,4.779661126514511,-6.344075520833329,74.425048828125,0.738525390625,0.45751953125,19.597949218750003,2.015625,8.932402262891358,2.39350279890517,0.16821776383822593,6.993449451887383,7.363199632552801,1.1589000768993167,0.0
Array_1Crop,10,17,"Array_1Crop_10,17.bmp",Good,0,2.0,0.0,70.345703125,7.188832831160092,-6.28125,75.056640625,0.671875,0.292724609375,20.124218749999997,1.9375,10.350524141196564,2.354650805458503,0.19278819670296335,1.069249205394355,8.668588487972348,1.1353207117698432,0.0
Array_1Crop,10,18,"Array_1Crop_10,18.bmp",Good,0,2.0,0.0,70.2265625,5.240079680557706,-5.185546875,74.11572265625,0.74755859375,0.3328857421875,19.735742187499994,2.078125,10.547471637158793,1.201710034256214,0.14227469633883372,29.80908425677469,6.785835585582647,1.1775720468252588,0.0
Array_1Crop,10,19,"Array_1Crop_10,19.bmp",Good,0,0.0,0.0,70.447265625,5.291055278552036,-5.0244140625,74.215576171875,0.73828125,0.3917236328125,20.794824218749994,2.078125,10.882683623299068,1.1126481541693958,0.1339562278896105,4.896150799370925,7.420769211250856,1.0375648363167893,0.0
Array_1Crop,10,2,"Array_1Crop_10,2.bmp",Good,2,0.0,0.0,68.0546875,6.6480243702429185,-9.354166666666671,75.0703125,0.700927734375,0.37744140625,22.858789062499994,2.296875,9.517985232024218,1.0863163834886156,0.20763282890398607,5.956727360525665,10.531686726948033,1.0306535572065325,0.0
Array_1Crop,10,20,"Array_1Crop_10,20.bmp",Good,0,2.0,1.0,71.3251953125,6.672933168497046,-4.370768229166671,74.603271484375,0.673583984375,0.302734375,24.77978515625,2.4375,13.32058974470042,0.988492826578161,0.13822075355290797,4.959401831414936,8.304896146103115,1.1016103071238992,0.0
Array_1Crop,10,21,"Array_1Crop_10,21.bmp",Good,0,0.0,1.0,71.91145833333333,6.733117309730852,-8.067361111111111,77.96197916666667,0.5690104166666666,0.5416666666666666,39.79583333333332,1.9166666666666572,16.91316414530404,3.1260484429644007,0.11239815392259526,28.531921910659243,17.45188715129421,1.074478257260177,0.0
Array_1Crop,10,3,"Array_1Crop_10,3.bmp",Good,0,0.0,0.0,68.7265625,6.494546803557101,-8.033854166666671,74.751953125,0.683349609375,0.52001953125,23.512304687500006,2.296875,10.723641492586623,0.7859533673718216,0.16023861259237218,64.05179570546133,9.724394654777052,1.2764590925436414,0.0
Array_1Crop,10,4,"Array_1Crop_10,4.bmp",Good,2,2.0,0.0,68.6240234375,8.506216076314466,-9.530598958333329,75.77197265625,0.6435546875,0.2723388671875,25.572460937499997,1.8125,11.394791938243516,2.5733784152020713,0.25801969289955945,8.17285051693745,10.713115329149243,1.1619268784693102,0.0
Array_1Crop,10,5,"Array_1Crop_10,5.bmp",Good,0,2.0,0.0,68.9677734375,6.872864478233907,-5.331380208333329,72.96630859375,0.78173828125,0.3128662109375,20.321679687499994,2.34375,11.210694532983759,1.0926496805827097,0.2690622899390139,18.843182828452033,4.088509994870727,1.0084634660998233,0.0
Array_1Crop,10,6,"Array_1Crop_10,6.bmp",Good,0,2.0,0.0,69.27734375,6.2954002906356905,-3.3356119791666714,71.779052734375,0.826171875,0.24267578125,17.513378906249997,2.34375,11.54652531901938,0.8971275729686168,0.24122009451163204,2.0066647145109746,3.269834656341195,1.0783383775008877,0.0
Array_1Crop,10,7,"Array_1Crop_10,7.bmp",Good,0,0.0,1.0,71.4990234375,7.492053017786626,-6.470377604166671,76.351806640625,0.58984375,0.4981689453125,36.22880859375,1.96875,15.88583820308768,6.2948936152966946,0.19307242624553575,6.697865480227037,11.335628907345063,1.2415090746947752,0.0
Array_1Crop,10,8,"Array_1Crop_10,8.bmp",Missing,1,,,91.7177734375,2.516243426204912,8.876953125,,,,,,,,,,,,
Array_1Crop,10,9,"Array_1Crop_10,9.bmp",Good,0,2.0,0.0,70.857421875,5.485882413365372,0.654296875,70.36669921875,0.87841796875,0.178955078125,16.8427734375,2.484375,12.868703183225115,1.4519503495856776,0.2372606038425935,5.902440184132507,10.021050454208122,1.0213925710528187,0.0
Array_1Crop,11,1,"Array_1Crop_11,1.bmp",Good,2,2.0,1.0,61.36099137931034,8.304682147372722,-13.303334463386285,71.3948622881356,0.7846927966101694,0.3330243644067797,26.88173643580751,1.8305084745762628,10.376156762868185,1.293036598954071,0.07946388003689009,10.688197852808182,16.416150072493316,1.0941051203267211,0.0
Array_1Crop,11,10,"Array_1Crop_11,10.bmp",Good,0,2.0,0.0,65.265625,8.956260358507617,-3.0159505208333286,67.527587890625,0.922607421875,0.2713623046875,16.847949218750003,1.859375,13.246129469190722,0.7719725453097684,0.20559690078405157,3.3703508109489553,12.439867886590148,1.0546994071605353,0.0
Array_1Crop,11,11,"Array_1Crop_11,11.bmp",Stitching,0,2.0,2.0,65.46875,8.938647216581488,-2.7981770833333286,67.5673828125,0.927734375,0.267578125,26.667578125000006,7.703125,,,,,,,
Array_1Crop,11,12,"Array_1Crop_11,12.bmp",Stitching,2,2.0,2.0,61.8056640625,7.39908191810957,-10.33203125,69.5546875,0.908935546875,0.2962646484375,28.798242187499994,7.703125,,,,,,,
Array_1Crop,11,13,"Array_1Crop_11,13.bmp",Good,2,2.0,0.0,62.3203125,7.743756147848649,-12.785807291666671,71.90966796875,0.791015625,0.28759765625,25.155859375000006,2.0625,7.613420219910014,1.533521713784829,0.2977826993048626,4.985944757675943,13.169894261753859,1.2164280124637665,0.0
Array_1Crop,11,14,"Array_1Crop_11,14.bmp",Good,2,2.0,1.0,61.419921875,8.39174128944026,-12.882486979166671,71.081787109375,0.828125,0.246826171875,26.456738281249997,2.71875,8.413334558291783,1.3759206298192292,0.2668689867404672,49.090366369788505,13.514070333422646,1.371305174718975,0.0
Array_1Crop,11,15,"Array_1Crop_11,15.bmp",Good,2,2.0,1.0,60.8447265625,9.385843287744951,-8.913736979166671,67.530029296875,0.88232421875,0.2783203125,33.63603515625,2.828125,14.94436175254652,5.772091279637652,0.0477999965613794,18.782687317311574,14.734218511846146,1.0991739760141641,0.0
Array_1Crop,11,16,"Array_1Crop_11,16.bmp",Good,2,2.0,1.0,62.5673828125,8.907365642072834,-10.662760416666671,70.564453125,0.845458984375,0.284423828125,27.366796875000006,2.515625,9.94955144221727,1.1291308649131515,0.12823069288760391,10.667029502443572,10.36308236234166,1.0667102295275224,0.0
Array_1Crop,11,17,"Array_1Crop_11,17.bmp",Good,2,2.0,1.0,63.560546875,9.095427577960683,-9.911458333333329,70.994140625,0.81591796875,0.2960205078125,26.254687500000003,2.34375,10.506578277428114,1.1748934469206969,0.1017334160627953,4.742847629638729,8.456133428894189,1.0469310311712483,0.0
Array_1Crop,11,18,"Array_1Crop_11,18.bmp",Good,2,2.0,1.0,64.46484375,9.517394353923029,-9.298828125,71.43896484375,0.785888671875,0.2867431640625,25.573828125000006,2.59375,11.470638776815377,1.1409382919960471,0.14661801539796201,6.541561435371344,7.176630146150947,1.1027555308245705,0.0
Array_1Crop,11,19,"Array_1Crop_11,19.bmp",Good,2,0.0,1.0,65.23828125,9.059798054918137,-11.133138020833329,73.588134765625,0.689208984375,0.3829345703125,34.76708984375,4.359375,13.06780749698793,2.2524612488095612,0.19894485600021908,9.546443767168475,9.79001169163977,1.063986446476247,0.0
Array_1Crop,11,2,"Array_1Crop_11,2.bmp",Good,2,2.0,1.0,60.9609375,8.362072432782064,-15.834309895833329,72.836669921875,0.7275390625,0.2755126953125,29.776660156250003,1.71875,8.970785433505116,1.089725339168487,0.1706280277624044,6.834014608774147,18.757757260477874,1.0921232574973134,0.0
Array_1Crop,11,20,"Array_1Crop_11,20.bmp",Missing,1,,,89.6708984375,2.6579209401447703,4.165690104166671,,,,,,,,,,,,
Array_1Crop,11,21,"Array_1Crop_11,21.bmp",Good,2,0.0,1.0,66.45,8.871865643707642,-11.345138888888883,74.95885416666667,0.6330729166666667,0.36380208333333336,37.360416666666666,4.8500000000000085,15.764698601800243,1.6540232500656218,0.12879375988897312,21.004494418438224,13.731358281371797,1.0512052050352219,0.0
Array_1Crop,11,3,"Array_1Crop_11,3.bmp",Good,2,2.0,0.0,63.5107421875,9.366552539777253,-15.083984375,74.82373046875,0.6123046875,0.2581787109375,28.1728515625,2.03125,8.29909167594769,1.4574485648115847,0.09184505222833785,7.454060580686614,21.852951088380248,1.247296544888313,0.0
Array_1Crop,11,4,"Array_1Crop_11,4.bmp",Good,2,2.0,0.0,61.9521484375,8.883834471413023,-13.068359375,71.75341796875,0.790771484375,0.236083984375,26.829687500000006,2.03125,9.6899539833901,1.294761366127355,0.07690630200630402,20.764516964962155,12.929571969284861,1.1023539231081005,0.0
Array_1Crop,11,5,"Array_1Crop_11,5.bmp",Good,2,2.0,0.0,61.61328125,8.783688461198885,-11.844401041666671,70.49658203125,0.83056640625,0.3199462890625,25.686718749999997,1.84375,9.926201222733953,1.6030750745719013,0.028827163589962058,7.892552766439364,12.408481795218254,1.0756826581836751,0.0
Array_1Crop,11,6,"Array_1Crop_11,6.bmp",Good,2,2.0,0.0,60.783203125,8.243479377058588,-11.136393229166671,69.135498046875,0.874755859375,0.33642578125,22.693457031250006,1.8125,9.893254839443022,2.2982060203157384,0.09248672679604258,18.69112978814831,13.13289909385874,1.2682408607427385,0.0
